               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019122,            0.038787,           0.0065495,             0.84219,             0.84651,             0.90904,             0.60091,            0.023962,             0.03841,           0.0065113,             0.00505,             0.00505,             0.00505
                  37,            0.018651,            0.038625,           0.0067872,             0.85784,             0.80313,             0.89456,             0.58587,            0.025542,            0.041242,            0.012333,           0.0049086,           0.0049086,           0.0049086
                  38,            0.018633,            0.039576,           0.0070725,             0.88327,             0.84591,             0.93376,             0.64074,            0.023497,            0.039001,           0.0068746,           0.0047671,           0.0047671,           0.0047671
                  39,            0.018321,            0.038295,           0.0063238,             0.88489,              0.8587,             0.93688,             0.62776,            0.023957,            0.038743,           0.0059613,           0.0046257,           0.0046257,           0.0046257
                  40,            0.018591,             0.03878,           0.0062166,             0.88409,             0.85653,             0.93561,             0.62214,            0.023833,            0.038947,           0.0059397,           0.0044843,           0.0044843,           0.0044843
                  41,            0.018025,            0.038131,           0.0059809,             0.86689,             0.86017,             0.93589,             0.63429,            0.022561,            0.037827,           0.0065517,           0.0043429,           0.0043429,           0.0043429
                  42,            0.018133,            0.038443,           0.0060598,             0.87972,             0.87118,             0.93799,             0.62137,            0.022964,            0.038449,           0.0060325,           0.0042014,           0.0042014,           0.0042014
                  43,            0.017984,            0.037708,           0.0052956,             0.89348,             0.88222,             0.94532,             0.63617,            0.023044,            0.038297,           0.0053605,             0.00406,             0.00406,             0.00406
                  44,            0.017993,            0.038241,           0.0059709,              0.8637,             0.86212,             0.93138,             0.64839,            0.022675,            0.038376,           0.0058961,           0.0039186,           0.0039186,           0.0039186
                  45,            0.017122,            0.037317,           0.0052502,              0.8678,             0.84126,             0.92263,             0.64204,            0.022453,             0.03697,           0.0079732,           0.0037771,           0.0037771,           0.0037771
                  46,            0.017575,               0.037,           0.0054882,             0.87824,             0.87519,             0.93526,              0.6498,            0.022714,            0.040061,           0.0063879,           0.0036357,           0.0036357,           0.0036357
                  47,            0.017231,            0.037581,           0.0048608,             0.82894,              0.8354,             0.90345,             0.60354,            0.024518,            0.039663,            0.010224,           0.0034943,           0.0034943,           0.0034943
                  48,            0.017196,            0.037133,           0.0054968,             0.87433,              0.8607,             0.93927,             0.65065,            0.022649,            0.040112,           0.0054789,           0.0033529,           0.0033529,           0.0033529
                  49,            0.016852,            0.037086,           0.0042697,             0.88643,             0.86268,             0.93493,             0.65693,            0.022819,            0.037472,           0.0056693,           0.0032114,           0.0032114,           0.0032114
                  50,            0.017102,            0.035974,           0.0046095,             0.88364,             0.86678,             0.94154,             0.65949,            0.022597,            0.036618,           0.0057863,             0.00307,             0.00307,             0.00307
                  51,            0.016519,            0.037643,           0.0048214,             0.89476,             0.87565,             0.94687,             0.65727,            0.022447,            0.038022,           0.0049068,           0.0029286,           0.0029286,           0.0029286
                  52,            0.016418,            0.036438,           0.0047025,             0.88194,             0.87618,             0.94252,               0.668,            0.022171,            0.037843,           0.0051922,           0.0027871,           0.0027871,           0.0027871
                  53,            0.016037,            0.036476,           0.0044092,             0.87936,             0.88122,             0.94026,             0.66658,            0.022844,            0.039185,           0.0052428,           0.0026457,           0.0026457,           0.0026457
                  54,            0.016021,            0.036353,           0.0038437,             0.89366,             0.86933,             0.94756,             0.66825,            0.021951,            0.038058,           0.0051548,           0.0025043,           0.0025043,           0.0025043
                  55,            0.015897,            0.035861,           0.0042076,             0.89194,             0.87448,             0.94434,             0.66116,            0.022162,            0.037809,           0.0051226,           0.0023629,           0.0023629,           0.0023629
                  56,            0.016021,            0.036057,           0.0036005,             0.89313,             0.88181,             0.94866,             0.67242,            0.021816,            0.037748,           0.0046645,           0.0022214,           0.0022214,           0.0022214
                  57,            0.015851,            0.035856,            0.003715,             0.89334,             0.88745,             0.95044,             0.68055,            0.022099,             0.03759,           0.0043966,             0.00208,             0.00208,             0.00208
                  58,            0.015328,            0.035817,           0.0036543,               0.892,             0.89123,             0.95031,             0.68164,            0.021625,            0.037273,           0.0043464,           0.0019386,           0.0019386,           0.0019386
                  59,             0.01506,             0.03534,           0.0031641,             0.90524,             0.87941,             0.95291,             0.67472,            0.021629,            0.038172,           0.0042592,           0.0017971,           0.0017971,           0.0017971
                  60,            0.015313,            0.036575,            0.002991,               0.908,             0.87064,             0.95032,              0.6841,             0.02158,            0.037885,           0.0042492,           0.0016557,           0.0016557,           0.0016557
                  61,            0.015266,            0.036169,             0.00314,             0.91371,             0.86905,             0.95026,             0.68612,            0.021994,            0.038795,           0.0040905,           0.0015143,           0.0015143,           0.0015143
                  62,            0.014929,            0.035357,            0.003159,             0.89676,             0.88735,             0.94974,             0.68904,            0.021382,            0.038557,           0.0039461,           0.0013729,           0.0013729,           0.0013729
                  63,             0.01456,            0.035593,           0.0029779,             0.90239,             0.87677,             0.95173,             0.67564,            0.021847,            0.038636,           0.0037683,           0.0012314,           0.0012314,           0.0012314
                  64,            0.014728,            0.034844,           0.0027633,             0.90864,             0.87087,             0.94962,             0.68094,             0.02188,            0.038205,           0.0045833,             0.00109,             0.00109,             0.00109
                  65,            0.014295,            0.035498,           0.0029553,             0.91019,             0.86786,             0.95009,             0.68437,            0.021543,            0.037894,            0.003987,          0.00094857,          0.00094857,          0.00094857
                  66,             0.01464,            0.035409,           0.0032366,             0.90114,              0.8707,               0.951,             0.68155,            0.021664,            0.039261,           0.0039919,          0.00080714,          0.00080714,          0.00080714
                  67,            0.014429,             0.03484,           0.0027798,             0.90114,             0.87317,              0.9528,             0.69128,             0.02109,            0.038419,           0.0037938,          0.00066571,          0.00066571,          0.00066571
                  68,            0.013934,            0.034883,           0.0025981,             0.90436,             0.86846,             0.95309,               0.695,             0.02105,            0.038824,           0.0037696,          0.00052429,          0.00052429,          0.00052429
                  69,            0.014205,            0.035026,           0.0030422,             0.91068,             0.87151,             0.95368,             0.69382,            0.021572,            0.039341,           0.0037635,          0.00038286,          0.00038286,          0.00038286
