               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080448,            0.078988,            0.070033,           0.0068946,             0.67973,             0.01449,           0.0040496,            0.058827,            0.058515,            0.066262,           0.0033218,           0.0033218,            0.070104
                   1,            0.054621,            0.058567,            0.065121,           0.0074451,             0.86876,            0.032016,           0.0087669,            0.048966,            0.053009,            0.064161,           0.0063257,           0.0063257,            0.039775
                   2,            0.049997,            0.057247,            0.063927,            0.012096,             0.62926,            0.031548,            0.011243,            0.057058,            0.046971,            0.063677,           0.0089996,           0.0089996,           0.0091153
                   3,            0.045579,            0.055159,              0.0634,           0.0074275,             0.88844,            0.036896,            0.014626,            0.042536,            0.055433,            0.063016,            0.008515,            0.008515,            0.008515
                   4,            0.040834,            0.056409,            0.062704,            0.011361,             0.93389,            0.065082,            0.029914,            0.037499,            0.048756,            0.062348,            0.008515,            0.008515,            0.008515
                   5,            0.037264,            0.055531,            0.062334,            0.041171,             0.44966,            0.073338,            0.034633,            0.038142,            0.045248,            0.061938,             0.00802,             0.00802,             0.00802
                   6,            0.033876,            0.054502,            0.061891,             0.14192,             0.15279,            0.078213,             0.03658,            0.038713,             0.04562,            0.062221,            0.007525,            0.007525,            0.007525
                   7,            0.031669,            0.052675,            0.061899,             0.06179,             0.54079,            0.088494,            0.040745,            0.039978,            0.043679,            0.061874,             0.00703,             0.00703,             0.00703
                   8,            0.030387,             0.05206,            0.061495,             0.31428,             0.13456,            0.091502,             0.04957,            0.033716,            0.043629,            0.061241,            0.006535,            0.006535,            0.006535
                   9,            0.029205,            0.051595,            0.061498,             0.53662,            0.082194,            0.096647,            0.049956,            0.031135,            0.043325,            0.060764,             0.00604,             0.00604,             0.00604
                  10,            0.027948,            0.050679,            0.061351,             0.54166,             0.10029,            0.091919,            0.048673,            0.033573,            0.042516,            0.060784,            0.005545,            0.005545,            0.005545
                  11,            0.026526,            0.050697,            0.061201,              0.3887,             0.10039,             0.10585,            0.057046,            0.031683,            0.042237,            0.060389,             0.00505,             0.00505,             0.00505
                  12,             0.02544,            0.050169,            0.060668,             0.39344,             0.14979,             0.10963,            0.066943,            0.027876,            0.040973,            0.060246,            0.004555,            0.004555,            0.004555
                  13,            0.024741,            0.048784,            0.060732,             0.39415,             0.12591,             0.10783,            0.063819,            0.029098,            0.041615,            0.060227,             0.00406,             0.00406,             0.00406
                  14,            0.024471,            0.047814,            0.060656,              0.4033,             0.14504,             0.11584,            0.072085,            0.027626,            0.040975,             0.05957,            0.003565,            0.003565,            0.003565
                  15,            0.023145,             0.04705,             0.06045,             0.40446,             0.19363,             0.12418,            0.076414,            0.028666,            0.040926,            0.059226,             0.00307,             0.00307,             0.00307
                  16,            0.023004,            0.047479,             0.06031,             0.32268,              0.1798,             0.12397,            0.078778,            0.026886,            0.039996,            0.058836,            0.002575,            0.002575,            0.002575
                  17,             0.02207,             0.04672,             0.05984,             0.34021,             0.22345,             0.13406,            0.088051,            0.026582,            0.040194,            0.058446,             0.00208,             0.00208,             0.00208
                  18,            0.021756,            0.046329,            0.060021,             0.25644,             0.21829,              0.1364,            0.091975,            0.025606,            0.039424,            0.058057,            0.001585,            0.001585,            0.001585
                  19,            0.021208,            0.044746,            0.059058,             0.19366,             0.23549,             0.15205,             0.10304,            0.025734,            0.039518,            0.057741,             0.00109,             0.00109,             0.00109
