               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020967,            0.045432,            0.031745,             0.62956,             0.55061,             0.61395,             0.39027,            0.027196,            0.039416,            0.027351,           0.0033218,           0.0033218,            0.070104
                   1,            0.023784,            0.044535,            0.033268,             0.53491,             0.44456,             0.48074,             0.26655,            0.033441,            0.047218,             0.03477,           0.0063257,           0.0063257,            0.039775
                   2,            0.028021,            0.046564,            0.034955,              0.6098,             0.43412,             0.50716,             0.28258,            0.030814,            0.042853,            0.033922,           0.0089996,           0.0089996,           0.0091153
                   3,            0.028669,            0.047782,            0.036677,             0.52281,             0.37837,             0.44496,             0.23826,            0.032378,            0.042193,            0.034834,            0.008515,            0.008515,            0.008515
                   4,            0.028212,            0.048826,            0.038437,             0.61003,              0.3389,             0.39557,             0.21281,            0.036762,              0.0447,            0.038607,            0.008515,            0.008515,            0.008515
                   5,             0.02749,               0.048,              0.0358,             0.65259,             0.42697,             0.49044,             0.26918,             0.03398,            0.041136,            0.030843,             0.00802,             0.00802,             0.00802
                   6,            0.027033,             0.04779,            0.033681,             0.66999,             0.35109,             0.41026,             0.22414,            0.033625,            0.042219,            0.040291,            0.007525,            0.007525,            0.007525
                   7,            0.026249,            0.046823,            0.030959,             0.71842,             0.52006,             0.57871,             0.31562,            0.032014,            0.041845,            0.027769,             0.00703,             0.00703,             0.00703
                   8,            0.026121,            0.046576,             0.02977,             0.63791,              0.5287,             0.60626,             0.36655,            0.030375,            0.042537,            0.024155,            0.006535,            0.006535,            0.006535
                   9,            0.025181,            0.046032,            0.027084,             0.64187,             0.55926,             0.61059,             0.35186,            0.028476,            0.040453,            0.024703,             0.00604,             0.00604,             0.00604
                  10,            0.025319,            0.045404,            0.026235,              0.7786,             0.59205,             0.66404,             0.40591,            0.027934,            0.041896,            0.021481,            0.005545,            0.005545,            0.005545
                  11,            0.024814,            0.045565,            0.025007,             0.76098,             0.55679,             0.64762,             0.39722,            0.028861,            0.040946,            0.021955,             0.00505,             0.00505,             0.00505
                  12,            0.023689,            0.045892,              0.0232,              0.7829,             0.60813,             0.67957,             0.42277,            0.027388,            0.040117,            0.019047,            0.004555,            0.004555,            0.004555
                  13,            0.023329,            0.044189,             0.02099,              0.7776,             0.61771,             0.69553,             0.44574,            0.029121,            0.038711,            0.017895,             0.00406,             0.00406,             0.00406
                  14,            0.023076,             0.04345,            0.021313,             0.80972,             0.62959,             0.72212,             0.47363,            0.025929,             0.03836,            0.017496,            0.003565,            0.003565,            0.003565
                  15,            0.021866,             0.04386,            0.019484,             0.81335,             0.63419,             0.71703,             0.44888,            0.028138,            0.039332,            0.016692,             0.00307,             0.00307,             0.00307
                  16,             0.02134,            0.042949,            0.018647,              0.8307,             0.64271,             0.73036,             0.47021,            0.026431,            0.039373,            0.015551,            0.002575,            0.002575,            0.002575
                  17,            0.020894,            0.042839,            0.017294,             0.78728,             0.68138,             0.78257,             0.50296,            0.025809,            0.039659,            0.015471,             0.00208,             0.00208,             0.00208
                  18,            0.019901,            0.042862,            0.016938,             0.80954,             0.66838,              0.7729,             0.50561,            0.025382,            0.037723,            0.014628,            0.001585,            0.001585,            0.001585
                  19,            0.019146,            0.042227,            0.015319,             0.84512,             0.66015,             0.79055,             0.51988,            0.025291,            0.038199,            0.013861,             0.00109,             0.00109,             0.00109
