               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.02005,            0.038354,            0.033813,             0.57978,              0.5523,             0.57324,             0.39109,            0.023368,            0.034024,            0.030575,            0.002872,            0.002872,            0.002872
                  38,             0.02002,             0.03821,            0.033267,             0.63418,             0.52997,             0.60517,             0.40126,            0.024732,            0.034061,            0.030787,            0.002674,            0.002674,            0.002674
                  39,            0.020112,            0.037881,            0.030708,             0.60395,             0.56717,             0.60645,             0.41183,            0.024399,             0.03408,            0.029363,            0.002476,            0.002476,            0.002476
                  40,            0.020291,            0.037442,            0.029628,             0.59507,              0.5912,             0.64001,              0.4431,            0.023608,            0.034689,            0.027628,            0.002278,            0.002278,            0.002278
                  41,             0.01972,            0.037607,            0.029087,              0.6452,             0.58128,             0.64035,             0.44007,             0.02262,            0.034278,            0.026875,             0.00208,             0.00208,             0.00208
                  42,            0.019482,            0.038144,             0.02832,             0.61396,             0.61466,             0.64223,             0.43479,            0.023136,            0.035055,              0.0266,            0.001882,            0.001882,            0.001882
                  43,            0.019473,            0.036766,            0.025859,             0.67597,              0.6259,             0.69123,              0.4781,            0.022565,            0.034225,            0.025223,            0.001684,            0.001684,            0.001684
                  44,             0.01894,            0.036828,            0.025792,             0.67012,             0.65649,             0.70972,             0.49297,            0.023826,            0.034164,            0.024522,            0.001486,            0.001486,            0.001486
                  45,            0.018239,            0.036513,            0.024143,             0.66268,             0.64595,             0.70707,             0.50035,            0.022338,            0.033958,              0.0234,            0.001288,            0.001288,            0.001288
                  46,            0.018001,            0.036641,            0.023573,             0.71498,             0.61138,             0.70888,             0.49908,            0.022073,            0.034447,            0.023782,             0.00109,             0.00109,             0.00109
                  47,            0.017558,            0.035945,            0.022341,             0.71833,             0.62856,             0.71338,             0.49473,            0.023216,            0.035326,            0.022343,            0.000892,            0.000892,            0.000892
                  48,            0.017676,            0.036407,            0.022877,             0.64967,             0.72025,              0.7339,             0.52218,            0.022026,            0.034284,            0.021404,            0.000694,            0.000694,            0.000694
                  49,            0.016641,            0.036236,            0.021575,             0.69131,             0.65557,             0.73175,             0.51718,            0.022683,             0.03523,            0.021748,            0.000496,            0.000496,            0.000496
