               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020845,            0.042086,            0.010311,             0.81742,             0.75385,             0.84889,             0.56344,            0.024663,            0.038716,           0.0097739,             0.00505,             0.00505,             0.00505
                  37,            0.020889,              0.0414,            0.011144,              0.8238,              0.7753,             0.85352,              0.5678,              0.0237,            0.037044,           0.0096468,           0.0049086,           0.0049086,           0.0049086
                  38,            0.020317,            0.041759,            0.010656,             0.80699,             0.75605,             0.84236,              0.5583,            0.024091,            0.038269,           0.0097423,           0.0047671,           0.0047671,           0.0047671
                  39,            0.020261,            0.040998,            0.010266,             0.82758,             0.74873,             0.85127,             0.57305,            0.023225,            0.038248,           0.0092268,           0.0046257,           0.0046257,           0.0046257
                  40,            0.020348,            0.041159,           0.0093089,             0.79356,             0.76238,             0.84564,             0.56426,              0.0238,            0.038263,            0.010335,           0.0044843,           0.0044843,           0.0044843
                  41,            0.019891,            0.040739,           0.0095503,              0.8079,             0.77472,             0.85759,             0.58071,            0.023957,            0.038473,           0.0096977,           0.0043429,           0.0043429,           0.0043429
                  42,            0.019945,            0.040888,           0.0095315,             0.87006,             0.77448,             0.87465,             0.58092,            0.023361,            0.039111,           0.0085462,           0.0042014,           0.0042014,           0.0042014
                  43,            0.019578,            0.040372,           0.0087495,             0.82416,             0.70686,             0.82697,              0.5388,            0.025563,            0.039249,            0.013088,             0.00406,             0.00406,             0.00406
                  44,            0.019848,            0.041245,            0.008708,             0.85049,             0.75524,             0.86906,             0.58879,            0.022692,            0.038405,           0.0083031,           0.0039186,           0.0039186,           0.0039186
                  45,            0.019421,            0.039619,            0.009182,             0.85122,             0.76941,             0.85793,             0.57692,            0.023101,            0.037802,           0.0080064,           0.0037771,           0.0037771,           0.0037771
                  46,            0.019264,            0.039444,            0.007888,             0.86212,             0.77267,             0.86686,             0.59391,             0.02269,            0.037544,           0.0083326,           0.0036357,           0.0036357,           0.0036357
                  47,            0.018795,            0.040134,           0.0078794,             0.84749,             0.77931,              0.8612,             0.58939,             0.02317,            0.037001,           0.0079084,           0.0034943,           0.0034943,           0.0034943
                  48,            0.019021,            0.038883,           0.0073391,             0.85534,             0.78217,             0.86801,             0.59791,            0.023173,            0.038831,           0.0086936,           0.0033529,           0.0033529,           0.0033529
                  49,            0.018525,            0.039696,           0.0075635,             0.80447,              0.8208,              0.8794,             0.59849,            0.023115,            0.038386,           0.0082403,           0.0032114,           0.0032114,           0.0032114
                  50,            0.018685,            0.039459,           0.0074775,              0.8311,             0.79518,             0.86344,             0.58037,            0.023906,            0.037358,           0.0095287,             0.00307,             0.00307,             0.00307
                  51,             0.01791,            0.039663,           0.0070724,             0.82534,             0.78614,              0.8715,             0.59731,            0.022543,            0.037621,           0.0090763,           0.0029286,           0.0029286,           0.0029286
                  52,            0.018051,            0.039056,            0.006312,             0.82624,             0.83107,             0.89173,             0.60793,            0.022977,            0.038406,           0.0077175,           0.0027871,           0.0027871,           0.0027871
                  53,            0.017593,            0.039353,           0.0067366,             0.84421,             0.85003,             0.90241,             0.62827,            0.022226,            0.037174,           0.0072639,           0.0026457,           0.0026457,           0.0026457
                  54,            0.017813,            0.038811,           0.0060188,             0.82938,             0.84538,             0.89523,             0.61365,            0.022876,            0.038141,           0.0079183,           0.0025043,           0.0025043,           0.0025043
                  55,             0.01743,            0.038432,           0.0063044,             0.84375,             0.84438,             0.89684,             0.62455,            0.022014,            0.037329,           0.0075108,           0.0023629,           0.0023629,           0.0023629
                  56,            0.017457,            0.038974,           0.0063274,             0.84405,             0.85394,             0.90455,             0.62697,            0.021899,            0.037164,           0.0071128,           0.0022214,           0.0022214,           0.0022214
                  57,            0.017106,            0.038473,           0.0061299,             0.84316,             0.85447,             0.89838,             0.62425,            0.022143,            0.037556,           0.0069468,             0.00208,             0.00208,             0.00208
                  58,            0.016683,             0.03818,           0.0055969,             0.85053,             0.84989,             0.90241,             0.62946,            0.021959,            0.037015,           0.0068043,           0.0019386,           0.0019386,           0.0019386
                  59,            0.016766,             0.03763,            0.005589,             0.82916,             0.87619,             0.90326,             0.63257,            0.021656,              0.0375,           0.0066495,           0.0017971,           0.0017971,           0.0017971
                  60,            0.016905,            0.037898,           0.0048533,             0.86972,             0.85978,             0.91001,             0.63976,            0.021283,            0.037064,           0.0069551,           0.0016557,           0.0016557,           0.0016557
                  61,            0.016205,            0.037526,            0.005847,             0.89103,             0.82923,              0.9079,             0.64055,            0.021563,             0.03771,           0.0067311,           0.0015143,           0.0015143,           0.0015143
                  62,            0.016249,            0.037377,           0.0047765,             0.86013,             0.84538,             0.90516,             0.63044,            0.021812,            0.037985,           0.0065268,           0.0013729,           0.0013729,           0.0013729
                  63,            0.015702,            0.037859,            0.004425,             0.87427,             0.85505,             0.90955,             0.65035,            0.020978,            0.037383,           0.0062204,           0.0012314,           0.0012314,           0.0012314
                  64,            0.015955,            0.037635,           0.0053753,             0.86931,             0.86076,             0.90523,               0.641,            0.021828,            0.037186,           0.0066181,             0.00109,             0.00109,             0.00109
                  65,            0.015704,            0.036963,           0.0047881,             0.87717,              0.8521,             0.90568,             0.64604,            0.021321,            0.037747,           0.0064051,          0.00094857,          0.00094857,          0.00094857
                  66,            0.015801,            0.036816,           0.0045893,             0.88342,             0.84494,             0.90807,             0.64514,            0.021566,            0.038184,           0.0066331,          0.00080714,          0.00080714,          0.00080714
                  67,            0.015409,            0.037185,           0.0045642,             0.88343,             0.84196,             0.90831,             0.64975,            0.021836,            0.038019,           0.0062793,          0.00066571,          0.00066571,          0.00066571
                  68,            0.015262,             0.03719,           0.0037994,             0.88073,             0.83754,             0.90843,             0.64969,            0.021545,            0.037902,           0.0061503,          0.00052429,          0.00052429,          0.00052429
                  69,            0.015249,            0.037021,            0.003947,             0.89309,             0.84428,             0.91374,             0.64977,            0.021569,            0.037255,           0.0060024,          0.00038286,          0.00038286,          0.00038286
